# Italy expansion photo credits (Wikimedia Commons, CC/PD licensed)
# public path | Commons file | license | author

cities/agrigento.jpg | https://commons.wikimedia.org/wiki/File:Olive_in_the_Valley_of_the_Temples._Agrigento.jpg | CC BY-SA 3.0 | Ввласенко
cities/alberobello.jpg | https://commons.wikimedia.org/wiki/File:Street_with_trulli_Alberobello.jpg | CC BY-SA 4.0 | MPhernambucq
cities/alghero.jpg | https://commons.wikimedia.org/wiki/File:Alghero_-_Panorama_(02).jpg | CC BY-SA 4.0 | Gianni Careddu
cities/assisi.jpg | https://commons.wikimedia.org/wiki/File:ASSISI_3.jpg | Public domain | Photo made by Gunnar Bach Pedersen. Colours enhanced by <a href="//commons.wikimedia.org/wiki/User:Wikipeder" title="
cities/bari.jpg | https://commons.wikimedia.org/wiki/File:Bari_Vecchia_(40106893452).jpg | CC BY 2.0 | Evelyn Hill from Rome, Italy
cities/bergamo.jpg | https://commons.wikimedia.org/wiki/File:The_Upper_City_of_Bergamo._View_from_Via_al_Castello._Italy.jpg | CC BY-SA 3.0 | Ввласенко
cities/bolzano.jpg | https://commons.wikimedia.org/wiki/File:Meran_Laubengasse_08.jpg | CC BY-SA 4.0 | Zairon
cities/cagliari.jpg | https://commons.wikimedia.org/wiki/File:Marina_(Cagliari).jpg | CC BY-SA 3.0 it | Municipality of Cagliari
cities/capri.jpg | https://commons.wikimedia.org/wiki/File:1960_Capri_Marina_Grande_with_hillside.jpg | CC BY-SA 4.0 | my late related person
cities/catania.jpg | https://commons.wikimedia.org/wiki/File:Catania,_piazza_del_Duomo.jpg | CC BY-SA 4.0 | Cayambe
cities/cefalu.jpg | https://commons.wikimedia.org/wiki/File:Cefalù_BW_2025-05-01_13-53-35.jpg | CC BY-SA 4.0 | Berthold Werner
cities/cinque-terre.jpg | https://commons.wikimedia.org/wiki/File:View_West_Manarola_Cinque_Terre_Sep23_A7C_07144.jpg | CC BY-SA 4.0 | <a href="https://upload.wikimedia.org/wikipedia/commons/2/24/View_West_Manarola_Cinq
cities/como.jpg | https://commons.wikimedia.org/wiki/File:Como_and_its_lake.jpg | CC0 | Pxhere
cities/cortina.jpg | https://commons.wikimedia.org/wiki/File:Faloria_Cortina_d'Ampezzo_10.jpg | CC BY-SA 4.0 | kallerna
cities/lecce.jpg | https://commons.wikimedia.org/wiki/File:Piazza_Sant'Oronzo_(Lecce).jpg | CC0 | Bernard Gagnon
cities/lucca.jpg | https://commons.wikimedia.org/wiki/File:Duomo_di_Lucca_vom_Torre_Guinigi_2009-07.jpg | CC BY-SA 3.0 | H005
cities/matera.jpg | https://commons.wikimedia.org/wiki/File:View_of_Sassi_di_Matera,_Matera,_Italy_(PPL2-Enhanced)_julesvernex2.jpg | CC BY-SA 4.0 | Jules Verne Times Two
cities/modena.jpg | https://commons.wikimedia.org/wiki/File:Piazza_Grande_a_Modena.jpg | CC BY-SA 4.0 | Albypino
cities/montepulciano.jpg | https://commons.wikimedia.org/wiki/File:Montepulciano_panorama_al_tramonto.jpg | CC BY-SA 4.0 | PROPOLI87
cities/orvieto.jpg | https://commons.wikimedia.org/wiki/File:Orvieto,_panorama_(07).jpg | CC BY-SA 4.0 | Gianni Careddu
cities/padua.jpg | https://commons.wikimedia.org/wiki/File:Prato_della_Valle_e_Basilica_di_Santa_Giustina,_settembre_2022_(Padova)_01.jpg | CC BY-SA 4.0 | Threecharlie
cities/parma.jpg | https://commons.wikimedia.org/wiki/File:Piazza_Duomo_Parma_2009-08.jpg | CC BY 3.0 | Filippo Aneli
cities/perugia.jpg | https://commons.wikimedia.org/wiki/File:Corso-Perugia.jpg | CC BY-SA 2.0 | justinknabb
